modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
3.8,123.44296,123.44296,26.38423,26.38423,10.75579,10.75579,9.98742,9.98742,6.66114,6.66114,160.00,160.00,0.00,0.00
3.9,123.95653,123.95653,26.11628,26.11628,10.40153,10.40153,10.00473,10.00473,6.66212,6.66212,160.00,160.00,0.00,0.00
4.0,124.47202,124.47202,25.84654,25.84654,10.05388,10.05388,10.02142,10.02142,6.66202,6.66202,160.00,160.00,0.00,0.00
4.1,124.98903,124.98903,25.57505,25.57505,9.71291,9.71291,10.03749,10.03749,6.66084,6.66084,160.00,160.00,0.00,0.00
4.2,125.50717,125.50717,25.30185,25.30185,9.37872,9.37872,10.05292,10.05292,6.65857,6.65857,160.00,160.00,0.00,0.00
4.3,126.02605,126.02605,25.02702,25.02702,9.05138,9.05138,10.06769,10.06769,6.65520,6.65520,160.00,160.00,0.00,0.00
4.4,126.54530,126.54530,24.75059,24.75059,8.73095,8.73095,10.08180,10.08180,6.65073,6.65073,160.00,160.00,0.00,0.00
4.5,127.06455,127.06455,24.47263,24.47263,8.41750,8.41750,10.09524,10.09524,6.64515,6.64515,160.00,160.00,0.00,0.00
4.6,127.58345,127.58345,24.19320,24.19320,8.11108,8.11108,10.10798,10.10798,6.63847,6.63847,160.00,160.00,0.00,0.00
4.7,128.10165,128.10165,23.91237,23.91237,7.81173,7.81173,10.12002,10.12002,6.63066,6.63066,160.00,160.00,0.00,0.00
4.8,128.61883,128.61883,23.63021,23.63021,7.51950,7.51950,10.13135,10.13135,6.62175,6.62175,160.00,160.00,0.00,0.00
4.9,129.13465,129.13465,23.34680,23.34680,7.23442,7.23442,10.14194,10.14194,6.61173,6.61173,160.00,160.00,0.00,0.00
5.0,129.64881,129.64881,23.06220,23.06220,6.95651,6.95651,10.15180,10.15180,6.60059,6.60059,160.00,160.00,0.00,0.00
5.1,130.16100,130.16100,22.77650,22.77650,6.68578,6.68578,10.16090,10.16090,6.58836,6.58836,160.00,160.00,0.00,0.00
5.2,130.67094,130.67094,22.48979,22.48979,6.42224,6.42224,10.16924,10.16924,6.57503,6.57503,160.00,160.00,0.00,0.00
5.3,131.17834,131.17834,22.20214,22.20214,6.16589,6.16589,10.17681,10.17681,6.56062,6.56062,160.00,160.00,0.00,0.00
5.4,131.68293,131.68293,21.91365,21.91365,5.91671,5.91671,10.18359,10.18359,6.54512,6.54512,160.00,160.00,0.00,0.00
5.5,132.18447,132.18447,21.62441,21.62441,5.67468,5.67468,10.18958,10.18958,6.52857,6.52857,160.00,160.00,0.00,0.00
