modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
18.9,158.78397,145.23381,1.35244,22.81560,0.00650,0.38766,5.39255,0.00000,2.49617,2.68374,160.00,160.00,0.00,0.00
19.0,158.80853,145.17438,1.32961,22.90543,0.00626,0.38466,5.34902,0.00000,2.47604,2.66345,160.00,160.00,0.00,0.00
19.1,158.83242,145.11467,1.30737,22.99549,0.00602,0.38171,5.30576,0.00000,2.45606,2.64330,160.00,160.00,0.00,0.00
19.2,158.85566,145.05467,1.28570,23.08578,0.00580,0.37882,5.26276,0.00000,2.43626,2.62330,160.00,160.00,0.00,0.00
19.3,158.87826,144.99439,1.26458,23.17629,0.00559,0.37598,5.22004,0.00000,2.41661,2.60344,160.00,160.00,0.00,0.00
19.4,158.90023,144.93383,1.24401,23.26702,0.00539,0.37320,5.17759,0.00000,2.39712,2.58372,160.00,160.00,0.00,0.00
19.5,158.92161,144.87299,1.22395,23.35798,0.00519,0.37047,5.13540,0.00000,2.37779,2.56415,160.00,160.00,0.00,0.00
19.6,158.94241,144.81187,1.20441,23.44916,0.00501,0.36779,5.09349,0.00000,2.35862,2.54471,160.00,160.00,0.00,0.00
19.7,158.96264,144.75048,1.18536,23.54057,0.00483,0.36517,5.05185,0.00000,2.33960,2.52542,160.00,160.00,0.00,0.00
19.8,158.98232,144.68882,1.16680,23.63219,0.00466,0.36259,5.01049,0.00000,2.32074,2.50626,160.00,160.00,0.00,0.00
19.9,159.00146,144.62689,1.14870,23.72404,0.00450,0.36006,4.96940,0.00000,2.30203,2.48725,160.00,160.00,0.00,0.00
20.0,159.02009,144.56469,1.13105,23.81611,0.00434,0.35757,4.92858,0.00000,2.28347,2.46837,160.00,160.00,0.00,0.00
20.1,159.03822,144.50223,1.11385,23.90840,0.00419,0.35514,4.88804,0.00000,2.26507,2.44963,160.00,160.00,0.00,0.00
20.2,159.05586,144.43950,1.09708,24.00091,0.00405,0.35274,4.84778,0.00000,2.24681,2.43103,160.00,160.00,0.00,0.00
20.3,159.07302,144.37651,1.08072,24.09364,0.00391,0.35040,4.80779,0.00000,2.22870,2.41256,160.00,160.00,0.00,0.00
20.4,159.08973,144.31325,1.06476,24.18658,0.00378,0.34809,4.76808,0.00000,2.21074,2.39422,160.00,160.00,0.00,0.00
20.5,159.10599,144.24974,1.04921,24.27975,0.00366,0.34583,4.72864,0.00000,2.19293,2.37602,160.00,160.00,0.00,0.00
20.6,159.12181,144.18597,1.03403,24.37313,0.00354,0.34362,4.68948,0.00000,2.17525,2.35795,160.00,160.00,0.00,0.00
20.7,159.13722,144.12194,1.01923,24.46673,0.00342,0.34144,4.65059,0.00000,2.15773,2.34002,160.00,160.00,0.00,0.00
20.8,159.15221,144.05765,1.00478,24.56054,0.00331,0.33930,4.61198,0.00000,2.14034,2.32222,160.00,160.00,0.00,0.00
20.9,159.16682,143.99312,0.99069,24.65457,0.00320,0.33721,4.57364,0.00000,2.12310,2.30454,160.00,160.00,0.00,0.00
21.0,159.18103,143.92832,0.97695,24.74882,0.00310,0.33515,4.53558,0.00000,2.10600,2.28700,160.00,160.00,0.00,0.00
21.1,159.19488,143.86328,0.96353,24.84327,0.00301,0.33313,4.49779,0.00000,2.08903,2.26958,160.00,160.00,0.00,0.00
21.2,159.20836,143.79798,0.95044,24.93795,0.00291,0.33115,4.46027,0.00000,2.07221,2.25230,160.00,160.00,0.00,0.00
21.3,159.22148,143.73244,0.93767,25.03283,0.00282,0.32920,4.42303,0.00000,2.05552,2.23514,160.00,160.00,0.00,0.00
21.4,159.23427,143.66664,0.92520,25.12792,0.00274,0.32729,4.38606,0.00000,2.03896,2.21811,160.00,160.00,0.00,0.00
21.5,159.24672,143.60060,0.91302,25.22323,0.00265,0.32542,4.34936,0.00000,2.02254,2.20120,160.00,160.00,0.00,0.00
21.6,159.25885,143.53431,0.90114,25.31875,0.00257,0.32358,4.31294,0.00000,2.00625,2.18442,160.00,160.00,0.00,0.00
21.7,159.27067,143.46778,0.88954,25.41447,0.00250,0.32177,4.27678,0.00000,1.99010,2.16776,160.00,160.00,0.00,0.00
21.8,159.28219,143.40100,0.87822,25.51041,0.00242,0.32000,4.24089,0.00000,1.97408,2.15123,160.00,160.00,0.00,0.00
21.9,159.29340,143.33397,0.86716,25.60655,0.00235,0.31826,4.20527,0.00000,1.95818,2.13482,160.00,160.00,0.00,0.00
22.0,159.30433,143.26671,0.85636,25.70290,0.00228,0.31656,4.16992,0.00000,1.94242,2.11853,160.00,160.00,0.00,0.00
22.1,159.31499,143.19920,0.84582,25.79946,0.00222,0.31488,4.13484,0.00000,1.92678,2.10236,160.00,160.00,0.00,0.00
22.2,159.32537,143.13144,0.83552,25.89622,0.00215,0.31324,4.10002,0.00000,1.91127,2.08631,160.00,160.00,0.00,0.00
22.3,159.33549,143.06345,0.82547,25.99319,0.00209,0.31162,4.06547,0.00000,1.89589,2.07038,160.00,160.00,0.00,0.00
22.4,159.34535,142.99522,0.81564,26.09036,0.00203,0.31004,4.03118,0.00000,1.88063,2.05457,160.00,160.00,0.00,0.00
22.5,159.35496,142.92675,0.80605,26.18773,0.00198,0.30849,3.99715,0.00000,1.86550,2.03887,160.00,160.00,0.00,0.00
22.6,159.36434,142.85803,0.79667,26.28531,0.00192,0.30696,3.96339,0.00000,1.85048,2.02330,160.00,160.00,0.00,0.00
22.7,159.37347,142.78908,0.78752,26.38309,0.00187,0.30547,3.92988,0.00000,1.83559,2.00784,160.00,160.00,0.00,0.00
22.8,159.38238,142.71990,0.77857,26.48107,0.00182,0.30400,3.89664,0.00000,1.82082,1.99249,160.00,160.00,0.00,0.00
22.9,159.39107,142.65047,0.76983,26.57924,0.00177,0.30256,3.86365,0.00000,1.80617,1.97726,160.00,160.00,0.00,0.00
23.0,159.39954,142.58081,0.76128,26.67762,0.00172,0.30114,3.83092,0.00000,1.79164,1.96215,160.00,160.00,0.00,0.00
23.1,159.40781,142.51092,0.75294,26.77620,0.00168,0.29976,3.79844,0.00000,1.77723,1.94714,160.00,160.00,0.00,0.00
23.2,159.41587,142.44079,0.74478,26.87497,0.00164,0.29839,3.76622,0.00000,1.76293,1.93225,160.00,160.00,0.00,0.00
23.3,159.42373,142.37042,0.73680,26.97394,0.00159,0.29706,3.73425,0.00000,1.74875,1.91747,160.00,160.00,0.00,0.00
23.4,159.43140,142.29982,0.72901,27.07310,0.00155,0.29575,3.70254,0.00000,1.73469,1.90280,160.00,160.00,0.00,0.00
23.5,159.43888,142.22899,0.72139,27.17246,0.00151,0.29446,3.67107,0.00000,1.72074,1.88825,160.00,160.00,0.00,0.00
23.6,159.44618,142.15793,0.71395,27.27201,0.00148,0.29320,3.63986,0.00000,1.70690,1.87380,160.00,160.00,0.00,0.00
23.7,159.45330,142.08663,0.70667,27.37175,0.00144,0.29196,3.60889,0.00000,1.69317,1.85946,160.00,160.00,0.00,0.00
23.8,159.46025,142.01510,0.69955,27.47169,0.00140,0.29075,3.57817,0.00000,1.67956,1.84522,160.00,160.00,0.00,0.00
23.9,159.46704,141.94334,0.69259,27.57181,0.00137,0.28956,3.54769,0.00000,1.66605,1.83110,160.00,160.00,0.00,0.00
24.0,159.47365,141.87135,0.68579,27.67213,0.00134,0.28839,3.51746,0.00000,1.65266,1.81708,160.00,160.00,0.00,0.00
