"technology","scenario","inspection_minute","duration_minutes","trial","horizontal_input","horizontal_value","horizontal_unit","vertical_input","vertical_value","vertical_unit","output_unit","output","reference_output","change_from_reference","percent_change","target","meets_target","highest_sampled","input_resource","remainder","requested_kWh","unserved_kWh","initial_stored_kWh","ending_stored_kWh","shutdown_minutes","clipped_minutes","status","map_version","mechanism_version","case_settings_json","reference_settings_json"
"solarPv","steady",0,,1,"area",10,"m²","efficiency",10,"%","kW",0.96,3.84,-2.88,-75,5,"false","false",10,9.04,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":10,""efficiency"":10,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
"solarPv","steady",0,,2,"area",20,"m²","efficiency",10,"%","kW",1.92,3.84,-1.92,-50,5,"false","false",20,18.08,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":20,""efficiency"":10,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
"solarPv","steady",0,,3,"area",30,"m²","efficiency",10,"%","kW",2.88,3.84,-0.96,-25,5,"false","false",30,27.12,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":30,""efficiency"":10,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
"solarPv","steady",0,,4,"area",10,"m²","efficiency",20,"%","kW",1.92,3.84,-1.92,-50,5,"false","false",10,8.08,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":10,""efficiency"":20,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
"solarPv","steady",0,,5,"area",20,"m²","efficiency",20,"%","kW",3.84,3.84,0,0,5,"false","false",20,16.16,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
"solarPv","steady",0,,6,"area",30,"m²","efficiency",20,"%","kW",5.76,3.84,1.92,50,5,"true","false",30,24.240000000000002,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":30,""efficiency"":20,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
"solarPv","steady",0,,7,"area",10,"m²","efficiency",30,"%","kW",2.88,3.84,-0.96,-25,5,"false","false",10,7.12,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":10,""efficiency"":30,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
"solarPv","steady",0,,8,"area",20,"m²","efficiency",30,"%","kW",5.76,3.84,1.92,50,5,"true","false",20,14.24,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":20,""efficiency"":30,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
"solarPv","steady",0,,9,"area",30,"m²","efficiency",30,"%","kW",8.64,3.84,4.800000000000001,125.00000000000001,5,"true","true",30,21.36,,,0,0,0,0,"Generating",1,1,"{""irradiance"":1000,""area"":30,""efficiency"":30,""incidence"":0}","{""irradiance"":1000,""area"":20,""efficiency"":20,""incidence"":0}"
