"minute","local_gap_kW","grid_kW","unserved_kW","no_bank_kW","power_limit_kW","stored_energy_limit_kW","strategy_held_kW","grid_limit_unserved_kW","grid_unavailable_unserved_kW"
0,3,3,0,0,3,0,0,0,0
1,3,3,0,0,3,0,0,0,0
2,3,3,0,0,3,0,0,0,0
3,3,3,0,0,3,0,0,0,0
4,3,3,0,0,3,0,0,0,0
5,3,3,0,0,3,0,0,0,0
6,3,3,0,0,3,0,0,0,0
7,3,3,0,0,3,0,0,0,0
8,3,3,0,0,3,0,0,0,0
9,3,3,0,0,3,0,0,0,0
10,3,3,0,0,3,0,0,0,0
11,3,3,0,0,3,0,0,0,0
12,3,3,0,0,3,0,0,0,0
13,3,3,0,0,3,0,0,0,0
14,3,3,0,0,3,0,0,0,0
15,3,3,0,0,3,0,0,0,0
16,3,3,0,0,3,0,0,0,0
17,3,3,0,0,3,0,0,0,0
18,3,3,0,0,3,0,0,0,0
19,3,3,0,0,3,0,0,0,0
20,3,3,0,0,3,0,0,0,0
21,3,3,0,0,3,0,0,0,0
22,3,3,0,0,3,0,0,0,0
23,3,3,0,0,3,0,0,0,0
24,3,3,0,0,3,0,0,0,0
25,3,3,0,0,3,0,0,0,0
26,3,3,0,0,3,0,0,0,0
27,3,3,0,0,3,0,0,0,0
28,3,3,0,0,3,0,0,0,0
29,3,3,0,0,3,0,0,0,0
30,3,3,0,0,3,0,0,0,0
31,3,3,0,0,3,0,0,0,0
32,3,3,0,0,3,0,0,0,0
33,3,3,0,0,3,0,0,0,0
34,3,3,0,0,3,0,0,0,0
35,3,3,0,0,3,0,0,0,0
36,3,3,0,0,3,0,0,0,0
37,3,3,0,0,3,0,0,0,0
38,3,3,0,0,3,0,0,0,0
39,3,3,0,0,3,0,0,0,0
40,3,3,0,0,3,0,0,0,0
41,3,3,0,0,3,0,0,0,0
42,3,3,0,0,3,0,0,0,0
43,3,3,0,0,3,0,0,0,0
44,3,3,0,0,3,0,0,0,0
45,3,3,0,0,3,0,0,0,0
46,3,3,0,0,3,0,0,0,0
47,3,3,0,0,3,0,0,0,0
48,3,3,0,0,3,0,0,0,0
49,3,3,0,0,3,0,0,0,0
50,3,3,0,0,3,0,0,0,0
51,3,3,0,0,3,0,0,0,0
52,3,3,0,0,3,0,0,0,0
53,3,3,0,0,3,0,0,0,0
54,3,3,0,0,3,0,0,0,0
55,3,3,0,0,3,0,0,0,0
56,3,3,0,0,3,0,0,0,0
57,3,3,0,0,3,0,0,0,0
58,3,3,0,0,3,0,0,0,0
59,3,3,0,0,3,0,0,0,0
60,3,3,0,0,3,0,0,0,0
61,3,3,0,0,3,0,0,0,0
62,3,3,0,0,3,0,0,0,0
63,3,3,0,0,3,0,0,0,0
64,3,3,0,0,3,0,0,0,0
65,3,3,0,0,3,0,0,0,0
66,3,3,0,0,3,0,0,0,0
67,3,3,0,0,3,0,0,0,0
68,3,3,0,0,3,0,0,0,0
69,3,3,0,0,3,0,0,0,0
70,3,3,0,0,3,0,0,0,0
71,3,3,0,0,3,0,0,0,0
72,3,3,0,0,3,0,0,0,0
73,3,3,0,0,3,0,0,0,0
74,3,3,0,0,3,0,0,0,0
75,3,3,0,0,3,0,0,0,0
76,3,3,0,0,3,0,0,0,0
77,3,3,0,0,3,0,0,0,0
78,3,3,0,0,3,0,0,0,0
79,3,3,0,0,3,0,0,0,0
80,3,3,0,0,3,0,0,0,0
81,3,3,0,0,3,0,0,0,0
82,3,3,0,0,3,0,0,0,0
83,3,3,0,0,3,0,0,0,0
84,3,3,0,0,3,0,0,0,0
85,3,3,0,0,3,0,0,0,0
86,3,3,0,0,3,0,0,0,0
87,3,3,0,0,3,0,0,0,0
88,3,3,0,0,3,0,0,0,0
89,3,3,0,0,3,0,0,0,0
90,3,0,3,0,3,0,0,0,3
91,3,0,3,0,3,0,0,0,3
92,3,0,3,0,3,0,0,0,3
93,3,0,3,0,3,0,0,0,3
94,3,0,3,0,3,0,0,0,3
95,3.000000000000151,0,3.000000000000151,0,3,0,1.509903313490213e-13,0,3.000000000000151
96,8,0,8,0,3,0,5,0,8
97,8,0,8,0,3,0,5,0,8
98,8,0,8,0,3,0,5,0,8
99,8,0,8,0,3,0,5,0,8
100,8,0,8,0,3,0,5,0,8
101,8,0,8,0,3,0,5,0,8
102,8,0,8,0,3,0,5,0,8
103,8,0,8,0,3,0,5,0,8
104,8,0,8,0,3,0,5,0,8
105,8,0,8,0,3,0,5,0,8
106,8,0,8,0,3,0,5,0,8
107,8,0,8,0,3,0,5,0,8
108,8,0,8,0,3,0,5,0,8
109,8,0,8,0,3,0,5,0,8
110,8,0,8,0,3,0,5,0,8
111,8,0,8,0,3,0,5,0,8
112,8,0,8,0,3,0,5,0,8
113,8,0,8,0,3,0,5,0,8
114,8,0,8,0,3,0,5,0,8
115,8,0,8,0,3,0,5,0,8
116,8,0,8,0,3,0,5,0,8
117,8,0,8,0,3,0,5,0,8
118,8,0,8,0,3,0,5,0,8
119,8,0,8,0,3,0,5,0,8
120,8,0,8,0,3,0,5,0,8
121,8,0,8,0,3,0,5,0,8
122,8,0,8,0,3,0,5,0,8
123,8,0,8,0,3,0,5,0,8
124,8,0,8,0,3,0,5,0,8
125,8,0,8,0,3,0,5,0,8
126,8,0,8,0,3,0,5,0,8
127,8,0,8,0,3,0,5,0,8
128,8,0,8,0,3,0,5,0,8
129,8,0,8,0,3,0,5,0,8
130,8,0,8,0,3,0,5,0,8
131,8,0,8,0,3,0,5,0,8
132,8,0,8,0,3,0,5,0,8
133,8,0,8,0,3,0,5,0,8
134,8,0,8,0,3,0,5,0,8
135,8,0,8,0,3,0,5,0,8
136,8,0,8,0,3,0,5,0,8
137,8,0,8,0,3,0,5,0,8
138,8,0,8,0,3,0,5,0,8
139,8,0,8,0,3,0,5,0,8
140,8,0,8,0,3,0,5,0,8
141,8,0,8,0,3,0,5,0,8
142,8,0,8,0,3,0,5,0,8
143,8,0,8,0,3,0,5,0,8
144,8,0,8,0,3,0,5,0,8
