"source","scenario","grid","strategy","battery_units","initial_comparison","target_percent","unit_capacity_kWh","unit_power_kW","bank_capacity_kWh","bank_power_kW","initial_kWh","initial_capped","local_demand_coverage_percent","meets_target","compact_option","demand_kWh","local_supply_kWh","grid_import_kWh","unserved_kWh","curtailed_kWh","battery_loss_kWh","final_storage_kWh","first_local_shortfall_min","power_limited_intervals","energy_or_strategy_limited_intervals","second_source","second_scenario","second_units","second_offset_min","second_settings_json","primary_generation_kWh","second_generation_kWh","demand_shift_enabled","shift_percent","shift_from_start_min","shift_from_end_min","shift_to_start_min","shift_to_end_min","grid_limit_enabled","grid_limit_kW","full_sequence_grid_limit_unserved_kWh","full_sequence_grid_unavailable_unserved_kWh"
"solarPv","steady","connected","fixed",1,"energy",90,40,0,40,0,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2338.7935969172913,0,10,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,40,2.5,40,2.5,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2328.793596917277,0,20.00000000000003,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,40,5,40,5,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2318.793596917281,0,29.999999999999844,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,40,7.5,40,7.5,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2308.7935969172904,0,40,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,40,10,40,10,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2308.7935969172872,0,40,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,50,0,50,0,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2338.7935969172913,0,10,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,50,2.5,50,2.5,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2328.793596917277,0,20.00000000000003,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,50,5,50,5,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2318.793596917281,0,29.999999999999844,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,50,7.5,50,7.5,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2308.7935969172904,0,40,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady","connected","fixed",1,"energy",90,50,10,50,10,10,"false",100,"true","false",31.999999999999922,31.999999999999922,0,0,2298.793596917277,0,49.99999999999984,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
