time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s,zener_knee_V,zener_slope_resistance_ohm,zener_region,diode_series_resistance_ohm,diode_junction_voltage_V,diode_series_voltage_V,diode_junction_power_W,diode_series_power_W,requested_integration,integration_restart,bjt_polarity,bjt_base_node,bjt_beta_forward,bjt_beta_reverse,bjt_Is_A,bjt_thermal_voltage_V,bjt_VBE_V,bjt_VBC_V,bjt_base_current_A,bjt_emitter_current_A,bjt_region,bjt_VCE_V,bjt_collector_current_A,bjt_total_power_W
0.0011718750000000002,V1,voltage,A,0,5,V,,0,,5,-0.0050321906851540175,-0.025160953425770086,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.0011718750000000002,R2,resistor,C,0,1000,Ω,,0,,4.894828854629675,0.004894828854629675,0.023959349516115256,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.0011718750000000002,Q3,bjt,C,A,0,,,0,,-0.10517114537032501,-0.004894828854629823,0.000610493946940619,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-0.6966941947571099,-0.5915230493867849,-0.00013736183052429223,0.0050321906851541155,Saturation,-0.10517114537032501,-0.004894828854629823,0.000610493946940619
0.0011718750000000002,R4,resistor,D,B,10000,Ω,,0,,-1.37361830524289,-0.000137361830524289,0.00018868272484983496,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.0011718750000000002,V5,voltage,D,0,0,V,,0,,2.9296875,0.00013736183052428906,0.0004024272378641281,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.0015625,V1,voltage,A,0,5,V,,0,,5,-0.004070120313740551,-0.020350601568702754,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.0015625,R2,resistor,C,0,1000,Ω,,0,,4.029822092822613,0.004029822092822613,0.016239466099801224,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.0015625,Q3,bjt,C,A,0,,,0,,-0.9701779071773871,-0.004029822092822451,0.0039374810773491935,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-0.6907677908197458,0.27941011635764124,-0.00004029822091802471,0.004070120313740475,Forward active,-0.9701779071773871,-0.004029822092822451,0.0039374810773491935
0.0015625,R4,resistor,D,B,10000,Ω,,0,,-0.4029822091802542,-0.000040298220918025416,0.000016239466091579813,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.0015625,V5,voltage,D,0,0,V,,0,,3.90625,0.00004029822091802538,0.00015741492546103664,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
