input_voltage_V,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
1.25,0.000044550000405405004,0.0044550000405405,4.01989999108109,1.25,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.275,0.0000465750004238325,0.00465750004238325,3.975349990675685,1.275,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.3,0.00004860000044226001,0.004860000044226001,3.9307999902702795,1.3,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.325,0.0000506250004606875,0.0050625000460687505,3.886249989864875,1.325,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.35,0.00005265000047911501,0.005265000047911501,3.84169998945947,1.35,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.375,0.000054675000497542506,0.00546750004975425,3.797149989054065,1.375,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.4,0.00005670000051597,0.005670000051597,3.75259998864866,1.4,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.425,0.00005872500053439751,0.005872500053439751,3.7080499882432547,1.425,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.45,0.000060750000552825004,0.0060750000552825005,3.6634999878378496,1.45,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.475,0.00006277500057125251,0.006277500057125251,3.618949987432445,1.475,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.5,0.00006480000058968,0.006480000058968,3.57439998702704,1.5,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.525,0.0000668250006081075,0.006682500060810751,3.5298499866216346,1.525,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.55,0.000068850000626535,0.0068850000626535,3.48529998621623,1.55,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.575,0.0000708750006449625,0.00708750006449625,3.440749985810825,1.575,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.6,0.00007290000066339001,0.007290000066339001,3.3961999854054197,1.6,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.625,0.00007492500068181751,0.007492500068181751,3.351649985000015,1.625,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.65,0.000076950000700245,0.0076950000700245,3.3070999845946103,1.65,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.675,0.00007897500071867251,0.007897500071867252,3.2625499841892047,1.675,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.7,0.0000810000007371,0.00810000007371,3.2179999837838,1.7,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.725,0.00008302500075552752,0.008302500075552752,3.1734499833783945,1.725,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.75,0.000085050000773955,0.0085050000773955,3.1288999829729898,1.75,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.775,0.00008707500079238249,0.00870750007923825,3.084349982567585,1.775,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.8,0.00008910000081081001,0.008910000081081,3.0397999821621795,1.8,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.825,0.0000911250008292375,0.00911250008292375,2.995249981756775,1.825,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.85,0.00009315000084766501,0.009315000084766501,2.9506999813513697,1.85,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.875,0.0000951750008660925,0.00951750008660925,2.906149980945965,1.875,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.9,0.00009720000088452,0.009720000088452,2.86159998054056,1.9,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.925,0.0000992250009029475,0.00992250009029475,2.817049980135155,1.925,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.95,0.000101250000921375,0.010125000092137501,2.7724999797297496,1.95,active,manual,5,12345.6789,220,,100,0.7,0.2,,
1.975,0.0001032750009398025,0.01032750009398025,2.727949979324345,1.975,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2,0.00010530000095823001,0.010530000095823,2.68339997891894,2,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.025,0.0001073250009766575,0.01073250009766575,2.638849978513535,2.025,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.05,0.000109350000995085,0.010935000099508499,2.5942999781081304,2.05,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.075,0.00011137500101351253,0.011137500101351252,2.5497499777027244,2.075,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.1,0.00011340000103194001,0.011340000103194001,2.5051999772973197,2.1,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.125,0.0001154250010503675,0.01154250010503675,2.460649976891915,2.125,active,manual,5,12345.6789,220,,100,0.7,0.2,,
2.15,0.000117450001068795,0.0117450001068795,2.41609997648651,2.15,active,manual,5,12345.6789,220,,100,0.7,0.2,,
