time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s,zener_knee_V,zener_slope_resistance_ohm,zener_region,diode_series_resistance_ohm,diode_junction_voltage_V,diode_series_voltage_V,diode_junction_power_W,diode_series_power_W,requested_integration,integration_restart
0.00020000000000000004,S2,switch,A,B,0,,true,0,,0,0.060000000000000005,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00020000000000000004,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00020000000000000004,L4,inductor,B,0,100,mH,,0,A,5,0.01,0.05,0.000005,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00024000000000000003,V1,voltage,A,0,5,V,,0,,5,-0.062000000000000006,-0.31000000000000005,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00024000000000000003,S2,switch,A,B,0,,true,0,,0,0.062000000000000006,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00024000000000000003,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00024000000000000003,L4,inductor,B,0,100,mH,,0,A,5,0.012,0.06,0.0000072000000000000005,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00028000000000000003,V1,voltage,A,0,5,V,,0,,5,-0.064,-0.32,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00028000000000000003,S2,switch,A,B,0,,true,0,,0,0.064,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00028000000000000003,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00028000000000000003,L4,inductor,B,0,100,mH,,0,A,5,0.014,0.07,0.000009800000000000001,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00032,V1,voltage,A,0,5,V,,0,,5,-0.066,-0.33,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00032,S2,switch,A,B,0,,true,0,,0,0.066,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00032,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00032,L4,inductor,B,0,100,mH,,0,A,5,0.016,0.08,0.000012800000000000001,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00036,V1,voltage,A,0,5,V,,0,,5,-0.068,-0.34,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00036,S2,switch,A,B,0,,true,0,,0,0.068,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00036,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00036,L4,inductor,B,0,100,mH,,0,A,5,0.018000000000000002,0.09000000000000001,0.000016200000000000004,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0004,V1,voltage,A,0,5,V,,0,,5,-0.07,-0.35000000000000003,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0004,S2,switch,A,B,0,,true,0,,0,0.07,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0004,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0004,L4,inductor,B,0,100,mH,,0,A,5,0.020000000000000004,0.10000000000000002,0.00002000000000000001,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00044,V1,voltage,A,0,5,V,,0,,5,-0.07200000000000001,-0.36000000000000004,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00044,S2,switch,A,B,0,,true,0,,0,0.07200000000000001,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00044,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00044,L4,inductor,B,0,100,mH,,0,A,5,0.022000000000000006,0.11000000000000003,0.000024200000000000012,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00048,V1,voltage,A,0,5,V,,0,,5,-0.07400000000000001,-0.37000000000000005,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00048,S2,switch,A,B,0,,true,0,,0,0.07400000000000001,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00048,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00048,L4,inductor,B,0,100,mH,,0,A,5,0.024000000000000007,0.12000000000000004,0.000028800000000000022,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0005200000000000001,V1,voltage,A,0,5,V,,0,,5,-0.07600000000000001,-0.38000000000000006,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0005200000000000001,S2,switch,A,B,0,,true,0,,0,0.07600000000000001,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0005200000000000001,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0005200000000000001,L4,inductor,B,0,100,mH,,0,A,5,0.02600000000000001,0.13000000000000006,0.00003380000000000003,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0005600000000000001,V1,voltage,A,0,5,V,,0,,5,-0.07800000000000001,-0.39000000000000007,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0005600000000000001,S2,switch,A,B,0,,true,0,,0,0.07800000000000001,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0005600000000000001,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0005600000000000001,L4,inductor,B,0,100,mH,,0,A,5,0.02800000000000001,0.14000000000000007,0.00003920000000000003,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0006000000000000001,V1,voltage,A,0,5,V,,0,,5,-0.08000000000000002,-0.4000000000000001,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0006000000000000001,S2,switch,A,B,0,,true,0,,0,0.08000000000000002,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0006000000000000001,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.0006000000000000001,L4,inductor,B,0,100,mH,,0,A,5,0.030000000000000013,0.15000000000000008,0.00004500000000000004,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00064,V1,voltage,A,0,5,V,,0,,5,-0.08200000000000002,-0.4100000000000001,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00064,S2,switch,A,B,0,,true,0,,0,0.08200000000000002,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00064,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00064,L4,inductor,B,0,100,mH,,0,A,5,0.032000000000000015,0.1600000000000001,0.000051200000000000045,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00068,V1,voltage,A,0,5,V,,0,,5,-0.08400000000000002,-0.4200000000000001,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00068,S2,switch,A,B,0,,true,0,,0,0.08400000000000002,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00068,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00068,L4,inductor,B,0,100,mH,,0,A,5,0.034000000000000016,0.1700000000000001,0.00005780000000000006,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00072,V1,voltage,A,0,5,V,,0,,5,-0.08600000000000002,-0.4300000000000001,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00072,S2,switch,A,B,0,,true,0,,0,0.08600000000000002,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00072,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00072,L4,inductor,B,0,100,mH,,0,A,5,0.03600000000000002,0.1800000000000001,0.00006480000000000007,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00076,V1,voltage,A,0,5,V,,0,,5,-0.08800000000000002,-0.4400000000000001,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00076,S2,switch,A,B,0,,true,0,,0,0.08800000000000002,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00076,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00076,L4,inductor,B,0,100,mH,,0,A,5,0.03800000000000002,0.1900000000000001,0.00007220000000000007,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
