time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s
0,V1,voltage,A,0,6,V,,0,,6,-0.0051428571428571435,-0.03085714285714286,0,true,true,initial_constraints,0.00002,,0.6
0,R2,resistor,A,B,1000,Ω,,0,,2.5714285714285716,0.0025714285714285717,0.006612244897959185,0,true,true,initial_constraints,0.00002,,0.6
0,R3,resistor,B,0,1000,Ω,,0,,3.4285714285714284,0.0034285714285714284,0.011755102040816326,0,true,true,initial_constraints,0.00002,,0.6
0,R4,resistor,A,C,1000,Ω,,0,,2.5714285714285716,0.0025714285714285717,0.006612244897959185,0,true,true,initial_constraints,0.00002,,0.6
0,R5,resistor,C,0,2000,Ω,,0,,3.4285714285714284,0.0017142857142857142,0.005877551020408163,0,true,true,initial_constraints,0.00002,,0.6
0,C6,capacitor,B,C,100,µF,,0,V,0,-0.0008571428571428569,0,0,true,true,initial_constraints,0.00002,1e-7,0.6
0.000034836720076114976,V1,voltage,A,0,6,V,,0,,6,-0.005142814498382286,-0.030856886990293715,0,true,true,backward_euler_step_doubling,0.00002,,0.6
0.000034836720076114976,R2,resistor,A,B,1000,Ω,,0,,2.5715565048522318,0.0025715565048522316,0.006612902857647826,0,true,true,backward_euler_step_doubling,0.00002,,0.6
0.000034836720076114976,R3,resistor,B,0,1000,Ω,,0,,3.4284434951477682,0.003428443495147768,0.011754224799421044,0,true,true,backward_euler_step_doubling,0.00002,,0.6
0.000034836720076114976,R4,resistor,A,C,1000,Ω,,0,,2.5712579935300544,0.002571257993530054,0.006611367669292201,0,true,true,backward_euler_step_doubling,0.00002,,0.6
0.000034836720076114976,R5,resistor,C,0,2000,Ω,,0,,3.4287420064699456,0.0017143710032349727,0.005878135873465774,0,true,true,backward_euler_step_doubling,0.00002,,0.6
0.000034836720076114976,C6,capacitor,B,C,100,µF,,0,V,-0.0002985113221773972,-0.0008568869902940857,2.5579046842929805e-7,4.45545047340489e-12,true,true,backward_euler_step_doubling,0.00002,1e-7,0.6
0.00006967344015222995,V1,voltage,A,0,6,V,,0,,6,-0.00514277186663755,-0.030856631199825298,0,true,true,backward_euler_step_doubling,0.00002,,0.6
0.00006967344015222995,R2,resistor,A,B,1000,Ω,,0,,2.571684400086447,0.002571684400086447,0.006613560653647988,0,true,true,backward_euler_step_doubling,0.00002,,0.6
