time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s
0.0006000000000000001,V1,voltage,A,0,5,V,,0,,5,-0.030001000000000003,-0.15000500000000003,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0006000000000000001,S2,switch,A,B,0,,true,0,,0,0.030001000000000003,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0006000000000000001,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0006000000000000001,L4,inductor,B,0,100,mH,,0,A,5,0.030000000000000002,0.15000000000000002,0.00004500000000000001,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0007000000000000001,V1,voltage,A,0,5,V,,0,,5,-0.035001000000000004,-0.17500500000000002,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0007000000000000001,S2,switch,A,B,0,,true,0,,0,0.035001000000000004,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0007000000000000001,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0007000000000000001,L4,inductor,B,0,100,mH,,0,A,5,0.035,0.17500000000000002,0.00006125000000000001,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0008,V1,voltage,A,0,5,V,,0,,5,-0.040001,-0.20000500000000002,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0008,S2,switch,A,B,0,,true,0,,0,0.040001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0008,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0008,L4,inductor,B,0,100,mH,,0,A,5,0.04,0.2,0.00008,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0009,V1,voltage,A,0,5,V,,0,,5,-0.045001,-0.225005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0009,S2,switch,A,B,0,,true,0,,0,0.045001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0009,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0009,L4,inductor,B,0,100,mH,,0,A,5,0.045,0.22499999999999998,0.00010125,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.001,V1,voltage,A,0,5,V,,0,,5,-0.050001,-0.250005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.001,S2,switch,A,B,0,,true,0,,0,0.050001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.001,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.001,L4,inductor,B,0,100,mH,,0,A,5,0.049999999999999996,0.24999999999999997,0.000125,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0011,V1,voltage,A,0,5,V,,0,,5,-0.055001,-0.275005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0011,S2,switch,A,B,0,,true,0,,0,0.055001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0011,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0011,L4,inductor,B,0,100,mH,,0,A,5,0.055,0.275,0.00015125000000000002,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0012000000000000001,V1,voltage,A,0,5,V,,0,,5,-0.060001000000000006,-0.300005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0012000000000000001,S2,switch,A,B,0,,true,0,,0,0.060001000000000006,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0012000000000000001,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0012000000000000001,L4,inductor,B,0,100,mH,,0,A,5,0.060000000000000005,0.30000000000000004,0.00018000000000000004,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0013000000000000002,V1,voltage,A,0,5,V,,0,,5,-0.065001,-0.325005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0013000000000000002,S2,switch,A,B,0,,true,0,,0,0.065001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0013000000000000002,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0013000000000000002,L4,inductor,B,0,100,mH,,0,A,5,0.065,0.325,0.00021125000000000004,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0014000000000000002,V1,voltage,A,0,5,V,,0,,5,-0.07000100000000001,-0.350005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0014000000000000002,S2,switch,A,B,0,,true,0,,0,0.07000100000000001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0014000000000000002,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0014000000000000002,L4,inductor,B,0,100,mH,,0,A,5,0.07,0.35000000000000003,0.00024500000000000005,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0015000000000000002,V1,voltage,A,0,5,V,,0,,5,-0.07500100000000001,-0.37500500000000003,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0015000000000000002,S2,switch,A,B,0,,true,0,,0,0.07500100000000001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0015000000000000002,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0015000000000000002,L4,inductor,B,0,100,mH,,0,A,5,0.07500000000000001,0.37500000000000006,0.0002812500000000001,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0016000000000000003,V1,voltage,A,0,5,V,,0,,5,-0.08000100000000002,-0.40000500000000005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
