"Companion Planting Lab","Controlled simulation; not field evidence"
"Crop","Corn"
"Duration (days)","14"
"Water policy","Both watered to 60 before each day"
"Random events and random disease","Off for both layouts"
"Prediction","Moving beans away may reduce the modeled growth of corn."
"Conclusion","Layout A had greater modeled corn maturity. This does not establish the best layout in a real garden."
"Starting day","0"
"Starting year","1"
"Starting moisture","60"
"Starting nitrogen","50"
"Starting phosphorus","40"
"Starting potassium","45"
"Starting pH","6.5"
"Starting organicMatter","3"
"Starting pestPop","0"
"Starting beneficialPop","5"
"Plot","A crop","B crop","A starting maturity days","B starting maturity days","A starting health","B starting health","A starting pests","B starting pests","Prior crops at plot"
"1","corn","corn","0","0","100","100","0","0",""
"2","beans","basil","0","0","100","100","0","0",""
"3","empty","empty","0","0","100","100","0","0",""
"4","empty","empty","0","0","100","100","0","0",""
"5","squash","squash","0","0","100","100","0","0",""
"6","empty","empty","0","0","100","100","0","0",""
"7","empty","empty","0","0","100","100","0","0",""
"8","empty","empty","0","0","100","100","0","0",""
"9","empty","empty","0","0","100","100","0","0",""
"10","empty","empty","0","0","100","100","0","0",""
"11","marigold","marigold","0","0","100","100","0","0",""
"12","tomato","tomato","0","0","100","100","0","0",""
"13","empty","empty","0","0","100","100","0","0",""
"14","empty","empty","0","0","100","100","0","0",""
"15","empty","empty","0","0","100","100","0","0",""
"16","basil","beans","0","0","100","100","0","0",""
"Day","A maturity (%)","B maturity (%)","B minus A maturity (points)","A health","B health","A pests","B pests"
"0","0","0","0","100","100","0","0"
"1","1.699","1.469","-0.23","100","100","0.116","0.238"
"2","3.399","2.939","-0.46","100","100","0.231","0.476"
"3","5.098","4.408","-0.69","100","100","0.347","0.714"
"4","6.798","5.878","-0.92","100","100","0.462","0.952"
"5","8.497","7.347","-1.15","100","100","0.578","1.19"
"6","10.197","8.817","-1.38","100","100","0.694","1.428"
"7","11.896","10.286","-1.61","100","100","0.809","1.666"
"8","13.596","11.756","-1.84","100","100","0.925","1.904"
"9","15.295","13.225","-2.07","100","100","1.04","2.142"
"10","16.994","14.694","-2.3","100","100","1.156","2.38"
"11","18.694","16.164","-2.53","100","100","1.272","2.618"
"12","20.393","17.633","-2.76","100","100","1.387","2.856"
"13","22.093","19.103","-2.99","100","100","1.503","3.094"
"14","23.792","20.572","-3.22","100","100","1.618","3.332"
