"RepresentativePath","TopArea","Extension","Lines","Bytes","DuplicateCount","DuplicatePaths","Sha256"
"lang/lao.js","lang",".js","16343","1695354",,"lang/lao.js","9E05823337B75CD819889104EBB3023E83849601A3CAE5D23A536573C75DD22E"
"lang/latin.js","lang",".js","16484","1418952",,"lang/latin.js","164DF1E4BEC5D42DEBDB78228F19F0E20B528B3CE563AD3CFAD3D540ADD12FCE"
"lang/lingala.js","lang",".js","16586","1129664",,"lang/lingala.js","E7D646FEE72EE3BF761358F0A1942655AF30655DEBEA561DCF814C6FE4219E1A"
"lang/maay_maay.js","lang",".js","12356","1056930",,"lang/maay_maay.js","FEF0E5012F1A3F1725549B86C828D823ECDA1B8159EC271E33A7C4B66249C700"
"lang/malayalam.js","lang",".js","16528","3384017",,"lang/malayalam.js","D1153E63609F90D9460D0D5619ED905CE63C2691263A53C265EB64678604F6B3"
"lang/marathi.js","lang",".js","16528","2787082",,"lang/marathi.js","53860FA53FC4A066857504E7CBC2CE31D6082CE775973A27E215AEDC0A545EFC"
"lang/marshallese.js","lang",".js","12356","1083994",,"lang/marshallese.js","10CD72EE98B07040D128305802BC7E818D79F83AF28882CA7904212326FD3951"
"lang/nepali.js","lang",".js","16674","2175216",,"lang/nepali.js","3F6640096D4F371A76862A6A0CB2F182B87B2F01203A0BBCF5792912B22864F0"
"lang/pashto.js","lang",".js","16561","1452549",,"lang/pashto.js","D1D250FE3706B64174F598057FAB378E28DCF737F039C7DA34DCE42F1E0B5759"
"lang/polish.js","lang",".js","16696","1104031",,"lang/polish.js","FEBCA153AE267F25DDDF27F877D74B5CF06539E08E01955DA2639D3106C32A32"
"lang/portuguese_angola.js","lang",".js","16512","1448653",,"lang/portuguese_angola.js","2D3719108F03BABE1960721A6908306E9B293E3C00DD560DD90CE44971A2C445"
"lang/portuguese_brazil.js","lang",".js","16378","1518635",,"lang/portuguese_brazil.js","F1C5F65342D43B5711CCE562DA56F22BF0406B001F23C79ADE6B042B02CD32CB"
"lang/portuguese_portugal.js","lang",".js","16386","1448501",,"lang/portuguese_portugal.js","BA9DA65715D41EFE07C77FD640B45C7A1D0CE7EDBD2745EEA0F25D84B623DA46"
"lang/punjabi.js","lang",".js","16674","2005075",,"lang/punjabi.js","05012C0988191DF90DF2F0CB7F7A4DFA513E3D23F2B36FBCB83C964924FF9C7E"
"lang/romanian.js","lang",".js","16713","1215266",,"lang/romanian.js","C2F47AF5C656B5AB29927D8777A67976356F3BCDF1E857E87485DEFDB2590AC7"
"lang/russian.js","lang",".js","16487","1543624",,"lang/russian.js","1E9989BB357473C49AF633561CE7E798F9697096E893C2A372A506CE8BE2B7A0"
"lang/somali.js","lang",".js","16548","1497202",,"lang/somali.js","8D4BD1823D89C26CF952D92A8D188BF3A4F2C5768AA8174274C40D58A1B6164F"
"lang/spanish_castilian.js","lang",".js","16523","1566275",,"lang/spanish_castilian.js","0AEE58C140724A0D311BFD839A4C182BBAC92F667CAF217F222F43EC67DB1E5B"
"lang/spanish_latin_america.js","lang",".js","16515","1579118",,"lang/spanish_latin_america.js","C0E8E3CA6727AB9A539E305224731F73AB42F580B816D415F698770096421834"
"lang/swahili.js","lang",".js","16674","1286425",,"lang/swahili.js","12C88C9F97F8994D92C94499CA318EBA63371DF6C18941D26AC9A95C8C5D0005"
"lang/tagalog.js","lang",".js","16673","1162433",,"lang/tagalog.js","01944C6FFFA30E14557A4B331F9663647197A0476B1E054346E290E2BBE7FC18"
"lang/tamil.js","lang",".js","16683","2323011",,"lang/tamil.js","60BCEA75377F8AF81555F0C0B2AB6A824CBB897067FB035DF800BD184FB82C45"
"lang/telugu.js","lang",".js","16682","2187091",,"lang/telugu.js","1C9D63890DB39C6E8C8566337F32B650F0D9A5D9FEDB8CD84821392F684E8126"
"lang/thai.js","lang",".js","17142","2117643",,"lang/thai.js","7395EA85B499FF2F35EBC408A075B6DC6C0C28FFEDDF7B8DA109537D021FE7C7"
"lang/tigrinya.js","lang",".js","16335","1520097",,"lang/tigrinya.js","0E68EF50B09744A1B6EADA471358124A55A67B74DD5CC944F8AC0E093FC07308"
