component,metric,unit,start_s,end_s,duration_s,known,start_value,end_value,delta,minimum,maximum,peak_to_peak,mean,total_rms,ac_rms,integration,reference,frequency_Hz,fundamental_peak,gain_magnitude,gain_dB,phase_deg,sine_fit_residual_rms,sine_fit_residual_percent,sine_fit_note
U2,voltage,V,0.001,0.0015,0.0005,true,-0.005998743340707137,-0.005999421957879691,-6.786171725539983e-7,-2.9999158021893333,2.9998973638138082,5.9998131660031415,2.264205648656743e-9,2.121196064383681,2.121196064383681,piecewise_linear_time_integral,V1,2000,2.9998242421681547,0.9999698088612125,-0.0002622408582511552,-0.11460031299645834,0.00004008700250566673,0.0018898301380958135,Sine plus DC fit; residual includes startup and other frequencies; not THD
U2,current,A,0.001,0.0015,0.0005,true,0.000005998743340707143,0.000005999421957879692,6.786171725487535e-10,-0.002999897363813808,0.0029999158021893333,0.0059998131660031415,-2.2642058168117804e-12,0.0021211960643836812,0.0021211960643836804,piecewise_linear_time_integral,,,,,,,,,
